model_id,fom,variables,aic,null_aic,delta_aic,null_deviance,residual_dev,dev_explained,MCFaddenPseudoR2,spatial_auc,training_auc,test_auc,toc_auc,number_of_variables
1,0.488093226438357,"mat_lingue_87,cul_prad_lingue_87,dis_urbano_lingue,dis_caminos_lingue,pen_lingue15,predios_lingue1",1008.5542341485,1008.5542341485,0.0,1122.87867934041,994.554234148497,128.324445191908,0.114281665110329,0.706314487598959,0.724834015156596,0.736787062544638,0.839341812344683,6
2,0.485694290837973,"mat_lingue_87,cul_prad_lingue_87,dis_comunidades_lingue,dis_urbano_lingue,dis_caminos_lingue,pen_lingue15,predios_lingue1",1009.93471729884,1008.5542341485,-1.38048315033996,1122.87867934041,993.934717298837,128.943962041568,0.114833387091571,0.707139926984867,0.725748532200145,0.737603305785124,0.835203688832566,7
3,0.486446611652913,"mat_lingue_87,cul_prad_lingue_87,dis_urbano_lingue,dis_caminos_lingue,dis_hid_lingue,pen_lingue15,predios_lingue1",1010.20521150393,1008.5542341485,-1.65097735543009,1122.87867934041,994.205211503928,128.673467836478,0.114592493564899,0.705527508204961,0.723968272355369,0.737577798183859,0.839390140496021,7
4,0.486302590084107,"mat_lingue_87,cul_prad_lingue_87,dis_urbano_lingue,dis_caminos_lingue,pen_lingue15,dis_plant87_lingue,predios_lingue1",1010.35811118638,1008.5542341485,-1.80387703788449,1122.87867934041,994.358111186382,128.520568154024,0.114456325975945,0.704895246801246,0.724492595460337,0.736174880114274,0.845740164824305,7
5,0.486051780440931,"bn_lingue_87,mat_lingue_87,cul_prad_lingue_87,dis_urbano_lingue,dis_caminos_lingue,pen_lingue15,predios_lingue1",1010.4950649228,1008.5542341485,-1.94083077430332,1122.87867934041,994.495064922801,128.383614417605,0.114334359338819,0.705549693387192,0.724193853226111,0.735435159677584,0.82511677584919,7
6,0.490953212542287,"mat_lingue_87,cul_prad_lingue_87,dis_urbano_lingue,pen_lingue15,predios_lingue1",1010.56161962683,1008.5542341485,-2.00738547833623,1122.87867934041,998.561619626834,124.317059713572,0.110712815196204,0.704684513179367,0.722017302662464,0.737858381797776,0.831311633273369,5
7,0.489603498286566,"mat_lingue_87,cul_prad_lingue_87,dis_comunidades_lingue,dis_urbano_lingue,pen_lingue15,predios_lingue1",1011.15461850757,1008.5542341485,-2.60038435907188,1122.87867934041,997.154618507569,125.724060832836,0.111965845594903,0.706647687248494,0.723456142810981,0.740613202734415,0.825357524009466,6
8,0.487785953846924,"bn_lingue_87,dis_urbano_lingue,dis_caminos_lingue,pen_lingue15,predios_lingue1",1011.40577747404,1008.5542341485,-2.8515433255385,1122.87867934041,999.405777474036,123.47290186637,0.109961035094993,0.70924636335893,0.721035721035721,0.743444546474849,0.936648099502441,5
9,0.486553484402792,"mat_lingue_87,cul_prad_lingue_87,dis_comunidades_lingue,dis_urbano_lingue,dis_caminos_lingue,dis_hid_lingue,pen_lingue15,predios_lingue1",1011.51371148943,1008.5542341485,-2.95947734093659,1122.87867934041,993.513711489434,129.364967850972,0.115208321460839,0.70630494975491,0.725303467238951,0.739031731455974,0.835044576732936,8
10,0.489062431503203,"mat_lingue_87,cul_prad_lingue_87,dis_urbano_lingue,dis_hid_lingue,pen_lingue15,predios_lingue1",1011.62211674301,1008.5542341485,-3.06788259451412,1122.87867934041,997.622116743012,125.256562597394,0.111549506551297,0.7039534740368,0.720895495089043,0.73841954902561,0.832347693529821,6
11,0.4840390838818,"mat_lingue_87,cul_prad_lingue_87,dis_comunidades_lingue,dis_urbano_lingue,dis_caminos_lingue,pen_lingue15,dis_plant87_lingue,predios_lingue1",1011.65708659413,1008.5542341485,-3.10285244562976,1122.87867934041,993.657086594127,129.221592746279,0.115080636157581,0.705367255362293,0.725638790154919,0.736940108152229,0.842719782119283,8
12,0.485504009396388,"bn_lingue_87,mat_lingue_87,cul_prad_lingue_87,dis_comunidades_lingue,dis_urbano_lingue,dis_caminos_lingue,pen_lingue15,predios_lingue1",1011.92554663965,1008.5542341485,-3.37131249114771,1122.87867934041,993.925546639645,128.953132700761,0.114841554188659,0.706823860157681,0.725516854549113,0.737067646158555,0.829501470075285,8
13,0.485801055430405,"mat_lingue_87,cul_prad_lingue_87,dis_urbano_lingue,dis_caminos_lingue,dis_hid_lingue,pen_lingue15,dis_plant87_lingue,predios_lingue1",1011.9989979607,1008.5542341485,-3.4447638122025,1122.87867934041,993.9989979607,128.879681379706,0.114776140780776,0.704125511842482,0.723882917431305,0.736327925721865,0.845915951024713,8
14,0.485081851511801,"bn_lingue_87,mat_lingue_87,cul_prad_lingue_87,dis_urbano_lingue,dis_caminos_lingue,dis_hid_lingue,pen_lingue15,predios_lingue1",1012.11761984462,1008.5542341485,-3.56338569612308,1122.87867934041,994.117619844621,128.761059495785,0.11467049990781,0.704569061581932,0.723407368568659,0.735664728088971,0.822216548647974,8
15,0.490443863575104,"mat_lingue_87,cul_prad_lingue_87,dis_comunidades_lingue,dis_urbano_lingue,dis_hid_lingue,pen_lingue15,predios_lingue1",1012.14156608087,1008.5542341485,-3.58733193237572,1122.87867934041,996.141566080873,126.737113259533,0.112868037831104,0.705837064763111,0.72362075587882,0.740205081114172,0.82650421400238,7
16,0.487865087683619,"mat_lingue_87,cul_prad_lingue_87,dis_urbano_lingue,pen_lingue15,dis_plant87_lingue,predios_lingue1",1012.15841601769,1008.5542341485,-3.60418186919628,1122.87867934041,998.158416017694,124.720263322712,0.11107189549273,0.702533038633176,0.72194414129898,0.736021834506683,0.840644017753893,6
17,0.489701492069757,"bn_lingue_87,dis_comunidades_lingue,dis_urbano_lingue,dis_caminos_lingue,pen_lingue15,predios_lingue1",1012.28447731704,1008.5542341485,-3.73024316854651,1122.87867934041,998.284477317044,124.594202023362,0.110959629313249,0.710557659683467,0.723925594893337,0.745485154576064,0.935703449191989,6
18,0.484474550874838,"bn_lingue_87,mat_lingue_87,cul_prad_lingue_87,dis_urbano_lingue,dis_caminos_lingue,pen_lingue15,dis_plant87_lingue,predios_lingue1",1012.30639160475,1008.5542341485,-3.75215745625007,1122.87867934041,994.306391604748,128.572287735658,0.114502385788626,0.704213555482254,0.724114595082337,0.734440363228242,0.832597442429775,8
19,0.487488113708023,"bn_lingue_87,mat_lingue_87,cul_prad_lingue_87,dis_urbano_lingue,pen_lingue15,predios_lingue1",1012.47551868297,1008.5542341485,-3.92128453447663,1122.87867934041,998.475518682974,124.403160657432,0.1107894939554,0.703825776077255,0.721779528231141,0.736506478930721,0.815629730089968,6
20,0.491986998481483,"bn_lingue_87,cul_prad_lingue_87,dis_urbano_lingue,dis_caminos_lingue,pen_lingue15,predios_lingue1",1012.49526512799,1008.5542341485,-3.9410309794963,1122.87867934041,998.495265127994,124.383414212412,0.110771908400181,0.710452298337638,0.722047786563916,0.745281093765942,0.924669481740622,6
